,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
52639,5405,PASC,medium_airport,Deadhorse Airport,70.19470215,-148.4649963,65.0,,US,US-AK,Deadhorse,yes,PASC,SCC,PASC,SCC,,https://en.wikipedia.org/wiki/Deadhorse_Airport,
52642,5408,PASI,medium_airport,Sitka Rocky Gutierrez Airport,57.04710006713867,-135.36199951171875,21.0,,US,US-AK,Sitka,yes,PASI,SIT,PASI,SIT,,https://en.wikipedia.org/wiki/Sitka_Rocky_Gutierrez_Airport,
52674,5421,PAWG,medium_airport,Wrangell Airport,56.48429871,-132.3699951,49.0,,US,US-AK,Wrangell,yes,PAWG,WRG,PAWG,WRG,,https://en.wikipedia.org/wiki/Wrangell_Airport,
52682,26343,PAYA,medium_airport,Yakutat Airport,59.508717,-139.660435,33.0,,US,US-AK,Yakutat,yes,PAYA,YAK,PAYA,YAK,,https://en.wikipedia.org/wiki/Yakutat_Airport,
52928,5431,PGSN,medium_airport,Saipan International Airport,15.119384,145.728848,215.0,OC,MP,MP-U-A,"I Fadang, Saipan",yes,PGSN,SPN,PGSN,GSN,,https://en.wikipedia.org/wiki/Saipan_International_Airport,Francisco C. Ada
52930,5433,PGUM,large_airport,Antonio B. Won Pat International Airport,13.485,144.797282,298.0,OC,GU,GU-U-A,Hagåtña,yes,PGUM,GUM,PGUM,GUM,http://www.guamairport.com/,https://en.wikipedia.org/wiki/Antonio_B._Won_Pat_International_Airport,"NGM, NAS Agana"
53688,5448,PHKO,large_airport,Ellison Onizuka Kona International Airport at Keāhole,19.738783,-156.045603,47.0,OC,US,US-HI,Kailua-Kona,yes,PHKO,KOA,PHKO,KOA,https://airports.hawaii.gov/koa/,https://en.wikipedia.org/wiki/Kona_International_Airport,
53689,5449,PHLI,large_airport,Lihue Airport,21.974393,-159.337146,153.0,OC,US,US-HI,"Lihue, Kauai",yes,PHLI,LIH,PHLI,LIH,https://airports.hawaii.gov/lih,https://en.wikipedia.org/wiki/Lihu'e_Airport,
53694,5453,PHNL,large_airport,Daniel K. Inouye International Airport,21.318387,-157.92567,13.0,OC,US,US-HI,"Honolulu, Oahu",yes,PHNL,HNL,PHNL,HNL,http://airports.hawaii.gov/hnl/,https://en.wikipedia.org/wiki/Daniel_K._Inouye_International_Airport,"Hickam Air Force Base, HIK, PHIK, KHNL, Honolulu International"
53697,5455,PHOG,large_airport,Kahului International Airport,20.896263,-156.431837,54.0,OC,US,US-HI,Kahului,yes,PHOG,OGG,PHOG,OGG,https://airports.hawaii.gov/ogg/,https://en.wikipedia.org/wiki/Kahului_Airport,
53700,5457,PHTO,medium_airport,Hilo International Airport,19.72135,-155.045428,38.0,OC,US,US-HI,Hilo,yes,PHTO,ITO,PHTO,ITO,,https://en.wikipedia.org/wiki/Hilo_International_Airport,
65121,6369,TIST,large_airport,Cyril E. King Airport,18.337091,-64.977251,23.0,,VI,VI-ST,Charlotte Amalie,yes,TIST,STT,TIST,STT,http://www.viport.com/airports.html,https://en.wikipedia.org/wiki/Cyril_E._King_Airport,Harry S. Truman Airport
65122,6370,TISX,medium_airport,Henry E. Rohlsen Airport,17.701413,-64.802608,74.0,,VI,VI-SC,Christiansted,yes,TISX,STX,TISX,STX,https://www.viport.com/herastx,https://en.wikipedia.org/wiki/Henry_E._Rohlsen_Airport,St Croix
65138,6379,TJBQ,medium_airport,Rafael Hernández International Airport,18.4949,-67.129402,237.0,,PR,PR-U-A,Aguadilla,yes,TJBQ,BQN,TJBQ,BQN,,https://en.wikipedia.org/wiki/Rafael_Hern%C3%A1ndez_Airport,"Ramey, TJFF"
65143,6383,TJPS,medium_airport,Mercedita International Airport,18.008301,-66.563004,29.0,,PR,PR-U-A,Ponce,yes,TJPS,PSE,TJPS,PSE,,https://en.wikipedia.org/wiki/Mercedita_Airport,
65145,6384,TJSJ,large_airport,Luis Munoz Marin International Airport,18.4394,-66.001801,9.0,,PR,PR-U-A,San Juan,yes,TJSJ,SJU,TJSJ,SJU,https://aeropuertosju.com/,https://en.wikipedia.org/wiki/Luis_Mu%C3%B1oz_Mar%C3%ADn_International_Airport,Isla Verde
